country,asthma,chronic_lower_respiratory_diseases,BMI,diabetes,everyday_alcohol,longstanding_health_issues,population_density,inform_risk,population_living_urban_areas,basic_sanitation_services,inform_vulnerability,inform_health_condition,epidemic_lack_coping_capacity,physicians_density,current_health_expenditure_per_capita,Age_average,Body_pain,Smoking_average,total_deaths_COVID_19,Risk_status
Austria,4.4,4.2,50.4,4.9,6.2,14.61,107.21,1.6,58.3,99.97,2.6,0.1,2.3,51.44,5295.18,13.5,20.45,47.15,168,2
Belgium,4.3,4,48.8,5.3,14.2,8.22,377.21,1.9,98,99.49,1.9,0.1,1.7,33.23,4667.88,13,24.55,47.95,1143,3
Bulgaria,2.7,4.6,44.6,6.4,8.9,9.02,64.7,2.4,75.01,86,2.3,0.2,3.1,39.88,1577.94,13.9,16.8,46.7,14,1
Croatia,3,4.2,41.9,7.1,9.1,12.12,73.08,2.1,56.95,96.54,1.1,0.1,3,29.96,1705.21,14.03,20,48.15,8,1
Cyprus,4.3,2.1,49.2,6.1,4.2,18.58,128.71,3,66.81,99.15,4.2,0.1,1.6,19.51,2270.83,11.37,31.2,48.3,11,1
Czechia,4.5,2.1,43.3,7.7,9.5,12.38,137.6,1.2,73.79,99.13,0.9,0.1,1.4,43.14,2484.63,12.8,17.95,46.4,53,1
Denmark,6.5,3.4,51.1,4.6,11.3,12.8,138.07,1.1,87.87,99.6,1.8,0.1,1.2,44.57,5092.98,13.03,17,46.45,139,2
Estonia,3.1,2.2,45,5.5,2,20.63,30.39,0.9,68.88,99.15,0.9,0.8,2.5,34.65,1987.72,13.03,22.7,47.95,12,1
Finland,9.2,3,44.7,7.7,2.7,27.92,18.16,0.6,85.38,99.45,1.6,0.1,1.6,38.08,4112.05,13.9,15.15,46.7,20,1
France,8.8,5.6,50.3,10,,21.14,122.34,2.3,80.44,98.65,2.8,0.3,5.5,32.35,4782.29,13.1,15.8,47.05,6507,3
Germany,6.1,5.3,47,7.2,9.3,21.21,237.37,2,77.31,99.23,3.4,0.1,4,42.09,5463.33,14.8,18.6,47.1,1017,3
Greece,4.4,3.2,42.2,9.2,6.9,5.08,83.22,3.1,79.06,98.98,2.8,0.2,3.6,45.92,2261.16,14.1,26.15,47.35,59,1
Hungary,4.9,4.1,42.6,8.1,7.3,17.09,107.91,1.9,71.35,97.99,1.5,0.1,2.4,32.31,1963.16,12.97,24.55,49.15,32,1
Iceland,8.9,3.9,43,4.3,0.6,14.76,3.53,1.2,93.81,98.78,0.8,0.1,2.7,39.7,4245.11,10.7,22.25,46.6,4,1
Ireland,9,2.9,43.4,4.6,2,13.73,70.45,1.4,63.17,91.25,1.3,0.2,2.5,30.86,5299.65,10.43,17.3,46.3,120,2
Italy,4.8,5.1,52.5,6.7,14.1,5.62,205.45,2.6,70.44,98.77,2.5,0.2,8.2,40.93,3427.31,14.93,25.95,47.55,14681,3
Latvia,3.5,4,42.9,4.7,1.4,10.05,30.98,1.5,68.14,92.15,1.2,0.7,3.2,31.95,1589.69,13.73,19.95,47.55,1,1
Lithuania,2.7,6.1,44.3,4.4,0.6,11.92,250.09,0.9,90.98,97.6,1.3,0.3,6.8,30.27,6374.2,13.9,17.7,47.7,31,1
Luxembourg,6.8,5.5,50.4,5.6,9.6,11.31,1511.03,1.9,94.61,99.96,2.1,0.1,5.4,38.26,3511.14,11.4,15.1,47.05,0,1
Malta,5.8,1.1,38,8.3,7.4,22.7,511.46,1.4,91.49,97.71,2.1,0.1,1.1,35.07,5251.24,12.3,21.6,48,1487,3
Netherlands,5.5,5.5,50,5.4,,15.71,14.55,0.9,82.25,98.05,2.1,0.2,5.3,46.34,6203.45,13.37,21,46.95,44,1
Norway,6.7,2.6,50,4.2,2.1,21.9,124.04,1.7,60.06,98.8,1.4,0.2,2.5,24,1784.4,11.97,26.5,46.4,71,1
Poland,4.1,3.1,43.8,6.6,1.8,18.48,112.24,1.6,65.21,99.61,1.1,0.3,3,33.36,2778.42,12.47,22.05,48.3,246,2
Portugal,5,5.8,45.3,9.3,24.2,19.21,84.64,2.8,54,84.31,1.7,0.5,4.3,22.59,1152.18,14.23,26.45,48.4,133,2
Romania,2,2,44.5,4.8,3.8,1.98,79.83,3.1,56.09,97.57,2.4,0.2,5.3,31.25,1322.56,12.77,14.15,47.05,39,1
Slovakia,3.9,2.7,44.3,6.9,3.1,6,113.29,1.6,53.73,97.94,0.9,0.1,5.5,24.64,2172.16,11.9,21.35,46.7,0,1
Slovenia,5,4.1,43,6.9,7.7,13.79,102.64,1.2,54.54,99.11,0.6,0.1,8.2,29.95,2772.23,13.8,16.95,47.35,20,1
Spain,4.5,3.3,46.4,6.8,15.3,13.87,93.53,2.2,80.32,99.9,2.1,0.3,5.4,40.69,3259.8,13.37,22.45,48.85,10935,3
Sweden,7.6,1.5,49.8,4.8,2.7,25.52,25,1.5,87.43,99.3,3.1,0.2,0.9,54,5386.73,12.67,20.7,46.55,333,2
Turkey,7.9,7.7,42.2,9,0.5,13.64,106.96,5,75.14,97.3,4.9,0.1,2.3,17.61,1089.24,7.93,27.1,47.4,425,2
United Kingdom,9.4,2.6,42.7,5.8,7.5,16.49,274.83,1.8,83.4,99.11,2.2,0.3,1.3,28.06,4177.81,12.5,20.95,48.45,3605,3
